CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
164 102 0 229 33.3612 67.6156 -90.7986
165 102 0 255 36.0173 72.2479 -101.074
166 127 0 0 25.927 48.2049 39.1241
167 127 0 25 26.1007 48.5973 26.8057
168 127 0 51 26.5127 49.5206 9.6486
169 127 0 76 27.1854 51.0065 -6.41996
170 127 0 102 28.1867 53.1723 -22.0719
171 127 0 127 29.433 55.7996 -36.0892
172 127 0 153 31.0024 59.0131 -49.69
173 127 0 178 32.7449 62.4752 -61.9401
174 127 0 204 34.7653 66.3716 -73.9357
175 127 0 229 36.8755 70.3284 -84.8547
176 127 0 255 39.2123 74.5986 -95.6638
177 153 0 0 32.0046 55.1924 46.8084
178 153 0 25 32.1372 55.4924 35.036
179 153 0 51 32.4534 56.2033 18.7315
180 153 0 76 32.9738 57.3622 2.83523
181 153 0 102 33.758 59.0824 -12.9593
182 153 0 127 34.749 61.2155 -27.288
183 153 0 153 36.0187 63.888 -41.3205
184 153 0 178 37.4548 66.8373 -54.0439
185 153 0 204 39.151 70.2334 -66.5575
186 153 0 229 40.9546 73.7538 -77.976
187 153 0 255 42.9857 77.6222 -89.2892
188 178 0 0 37.6714 61.7079 53.2503
189 178 0 25 37.7777 61.9482 42.4011
190 178 0 51 38.0314 62.52 27.0194
191 178 0 76 38.4513 63.4591 11.432
192 178 0 102 39.0883 64.8685 -4.35013
193 178 0 127 39.901 66.6408 -18.8363
194 178 0 153 40.9539 68.8971 -33.1429
195 178 0 178 42.1595 71.43 -46.1984
196 178 0 204 43.6023 74.3968 -59.1007
197 178 0 229 45.1567 77.5233 -70.9144
198 178 0 255 46.93 81.0114 -82.6449
199 204 0 0 43.4104 68.3061 59.0723
200 204 0 25 43.4971 68.5024 49.5876
201 204 0 51 43.7047 68.9707 35.2076
202 204 0 76 44.0492 69.7438 20.0466
203 204 0 102 44.5745 70.9129 4.39061
204 204 0 127 45.2491 72.3976 -10.1506
205 204 0 153 46.1301 74.3101 -24.631
206 204 0 178 47.148 76.485 -37.9295
207 204 0 204 48.3783 79.0678 -51.1383
208 204 0 229 49.7177 81.8268 -63.28
209 204 0 255 51.2617 84.946 -75.3715
210 229 0 0 48.8004 74.5032 64.4318
211 229 0 25 48.8734 74.6683 56.1211
212 229 0 51 49.0481 75.0629 42.7016
213 229 0 76 49.3387 75.7164 28.022
214 229 0 102 49.7833 76.7096 12.5698
215 229 0 127 50.3566 77.9794 -1.9449
216 229 0 153 51.1095 79.6283 -16.51
217 229 0 178 51.9849 81.5209 -29.9644
218 229 0 204 53.0504 83.7909 -43.39
219 229 0 229 54.2191 86.2412 -55.7778
220 229 0 255 55.5771 89.0406 -68.1518
221 255 0 0 54.2896 80.8144 69.8898
222 255 0 25 54.3516 80.9547 62.5917
223 255 0 51 54.5003 81.2906 50.1385
224 255 0 76 54.7479 81.8483 36.0096
225 255 0 102 55.1277 82.6991 20.8355
226 255 0 127 55.619 83.7922 6.413
227 255 0 153 56.2667 85.2207 -8.17305
228 255 0 178 57.0236 86.8719 -21.7253
229 255 0 204 57.9499 88.8683 -35.3109
230 255 0 229 58.972 91.0418 -47.8941
231 255 0 255 60.1673 93.5467 -60.5027
232 25 25 0 8.24636 -3.31015 12.1809
233 25 51 0 18.319 -17.8215 25.2622
234 25 76 0 27.8385 -28.1581 34.4972
235 25 102 0 37.3748 -37.1162 41.8407
236 25 127 0 46.2192 -44.8123 48.6871
237 25 153 0 55.127 -52.2391 55.6015
238 25 178 0 63.4526 -59.0043 62.0741
239 25 204 0 71.8964 -65.7541 68.6447
240 25 229 0 79.8344 -72.0307 74.8257
241 25 255 0 87.9237 -78.3784 81.127
242 51 25 0 12.1786 11.6177 18.3459
243 51 51 0 20.4785 -5.0567 28.3708
244 51 76 0 29.204 -18.5451 36.2393
245 51 102 0 38.3085 -29.9653 43.0361
246 51 127 0 46.9107 -39.29 49.5744
247 51 153 0 55.658 -47.8918 56.2837
248 51 178 0 63.8791 -55.4618 62.6224
249 51 204 0 72.2454 -62.827 69.0936
