CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
198 178 0 255 42.3639 129.124 -90.6393
199 204 0 0 39.9971 81.926 52.6046
200 204 0 25 40.0687 82.5529 43.2717
201 204 0 51 40.2401 84.0422 28.967
202 204 0 76 40.5249 86.4803 13.7737
203 204 0 102 40.96 90.1207 -2.00037
204 204 0 127 41.5199 94.6677 -16.7206
205 204 0 153 42.2533 100.409 -31.4457
206 204 0 178 43.1035 106.794 -45.0293
207 204 0 204 44.135 114.195 -58.5799
208 204 0 229 45.2625 121.908 -71.0882
209 204 0 255 46.5677 130.414 -83.5942
210 229 0 0 45.0776 89.3588 57.3773
211 229 0 25 45.1377 89.8862 49.2089
212 229 0 51 45.282 91.1427 35.886
213 229 0 76 45.5221 93.2101 21.2045
214 229 0 102 45.89 96.3211 5.66835
215 229 0 127 46.3653 100.246 -8.98979
216 229 0 153 46.9908 105.26 -23.7597
217 229 0 178 47.7202 110.908 -37.4584
218 229 0 204 48.6107 117.545 -51.1823
219 229 0 229 49.5909 124.555 -63.8946
220 229 0 255 50.7339 132.387 -76.6405
221 255 0 0 50.2514 96.9283 62.2376
222 255 0 25 50.3026 97.3768 55.0715
223 255 0 51 50.4253 98.4476 42.7303
224 255 0 76 50.6298 100.216 28.6259
225 255 0 102 50.9439 102.893 13.3983
226 255 0 127 51.3507 106.295 -1.13627
227 255 0 153 51.8882 110.682 -15.8921
228 255 0 178 52.5176 115.675 -29.6528
229 255 0 204 53.2899 121.607 -43.4975
230 255 0 229 54.1445 127.945 -56.3666
231 255 0 255 55.147 135.106 -69.3071
232 25 25 0 7.64832 -1.32248 11.3731
233 25 51 0 17.6808 -16.0868 24.9472
234 25 76 0 27.1007 -26.3463 34.9523
235 25 102 0 36.5152 -35.1169 42.6241
236 25 127 0 45.2379 -42.5932 49.654
237 25 153 0 54.0184 -49.7749 56.7415
238 25 178 0 62.2229 -56.2981 63.3697
239 25 204 0 70.5422 -62.7946 70.0942
240 25 229 0 78.3623 -68.8279 76.4176
241 25 255 0 86.3308 -74.9245 82.8623
242 51 25 0 11.1515 15.435 16.7732
243 51 51 0 19.5708 -2.07854 27.5662
244 51 76 0 28.2878 -15.8768 36.3592
245 51 102 0 37.3245 -27.3542 43.5471
246 51 127 0 45.8364 -36.6075 50.338
247 51 153 0 54.4777 -45.0668 57.2669
248 51 178 0 62.5916 -52.4635 63.7917
249 51 204 0 70.8438 -59.6271 70.4396
250 51 229 0 78.6162 -66.1445 76.7083
251 51 255 0 86.5468 -72.6306 83.1098
252 76 25 0 15.5502 29.3025 23.2859
253 76 51 0 22.3487 12.8268 31.2843
254 76 76 0 30.1445 -2.69624 38.4891
255 76 102 0 38.6276 -16.5248 45.0227
256 76 127 0 46.8137 -27.7571 51.4496
257 76 153 0 55.2339 -37.8417 58.1293
258 76 178 0 63.2015 -46.4428 64.4883
259 76 204 0 71.3443 -54.5739 71.0118
260 76 229 0 79.0384 -61.8177 77.1913
261 76 255 0 86.9066 -68.9025 83.5216
262 102 25 0 20.5997 41.4664 30.3342
263 102 51 0 25.9867 27.3574 35.899
264 102 76 0 32.7528 11.8778 41.3701
265 102 102 0 40.5289 -3.3029 47.1535
266 102 127 0 48.2685 -16.2208 53.0928
267 102 153 0 56.3731 -27.9803 59.4221
268 102 178 0 64.127 -37.9723 65.5416
269 102 204 0 72.1075 -47.3059 71.8821
270 102 229 0 79.6843 -55.4995 77.9287
271 102 255 0 87.4583 -63.3952 84.152
272 127 25 0 25.6218 51.7325 36.8221
273 127 51 0 29.9621 39.9007 40.5822
274 127 76 0 35.7955 25.4569 44.6665
275 127 102 0 42.8404 10.0278 49.7112
276 127 127 0 50.0794 -3.86095 55.1201
277 127 153 0 57.813 -16.9022 61.0458
278 127 178 0 65.3077 -28.1324 66.8789
279 127 204 0 73.0875 -38.6433 72.9955
280 127 229 0 80.5172 -47.829 78.877
281 127 255 0 88.172 -56.6122 84.9658
282 153 25 0 30.8787 61.4481 42.9772
283 153 51 0 34.3984 51.6173 45.3235
284 153 76 0 39.3826 38.631 48.48
285 153 102 0 45.6779 23.6989 52.8062
286 153 127 0 52.3599 9.46962 57.646
287 153 153 0 59.6579 -4.4206 63.11
288 153 178 0 66.8375 -16.6697 68.6014
